id,level_id,"display_name","field",is_tag,is_value,in_library,is_del,"created_at","updated_at"
119,3,"月发电量","energy_sum_month",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
120,3,"年发电量","energy_sum_year",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
121,3,"湿度","humidity",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
122,3,"实体编号","id",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
123,3,"光照","illamination",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
124,3,"项目名称","name",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
125,3,"NO2减排量","no2_redution",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
126,3,"颗粒物减排量","pms_redution",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
127,3,"光功率预测","power_luminous_forecast",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
128,3,"光功率实测","power_luminous_value",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
129,3,"实时总无功功率","reactive_power_al",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
130,3,"SO2减排量","so2_redution",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
131,3,"温度","temperature",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
132,3,"风向","wind_direction",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
133,3,"风速","wind_speed",0,1,0,0,"2017-04-11 17:53:39","2017-04-11 17:53:39"
134,4,"总有功功率","active_power_all",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
135,4,"总功率因数","cos_all",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
136,4,"总输出电流A","i_a",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
137,4,"总输出电流B","i_b",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
138,4,"总输出电流C","i_c",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
139,4,"总无功功率","reactive_power_all",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
140,4,"电网线电压AB","u_ab",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
141,4,"电网线电压BC","u_bc",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
142,4,"电网线电压CA","u_ca",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
143,4,"实时总有功功率","active_power_all",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
144,4," 节约标煤","carbon_save",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
145,4,"CO2减排量","co2_redution",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
146,4,"日预测发电量","energy_forecast_day",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
147,4,"月预测发电量","energy_forecast_month",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
148,4,"年预测发电量","energy_forecast_year",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
149,4,"累计发电量","energy_sum_all",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
150,4,"日发电量","energy_sum_day",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
151,4,"月发电量","energy_sum_month",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
152,4,"年发电量","energy_sum_year",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
153,4,"实体编号","id",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
154,4,"名称","name",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
155,4,"NO2减排量","no2_redution",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
156,4,"颗粒物减排量","pms_redution",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
157,4,"实时总无功功率","reactive_power_al",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
158,4,"SO2减排量","so2_redution",0,1,0,0,"2017-04-11 17:57:35","2017-04-11 17:57:35"
159,6,"总有功功率","active_power_all",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
160,6,"总功率因数","cos_all",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
161,6,"总输出电流A","i_a",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
